protein_pair,signature,sig_type,net_movement_toward_p2
PAIR4-ABC,Chemotherapy (SBS25_PROFILE),SBS,0.000992
PAIR4-ABC,Chemotherapy (SBS31_PROFILE),SBS,-0.021278
PAIR4-ABC,Chemotherapy (SBS35_PROFILE),SBS,0.001272
PAIR4-ABC,Chemotherapy (SBS86_PROFILE),SBS,-0.003071
PAIR4-ABC,Chemotherapy (SBS87_PROFILE),SBS,-0.003886
PAIR4-ABC,Chemotherapy (v3.3_DBS5_PROFILE),DBS,0.001633
PAIR4-ABC,Clock-like (SBS1_PROFILE),SBS,-0.000281
PAIR4-ABC,Clock-like (SBS5_PROFILE),SBS,-0.012073
PAIR4-ABC,Mismatch (SBS14_PROFILE),SBS,-0.001100
PAIR4-ABC,Mismatch (SBS15_PROFILE),SBS,-0.000666
PAIR4-ABC,Mismatch (SBS20_PROFILE),SBS,0.000309
PAIR4-ABC,Mismatch (SBS21_PROFILE),SBS,-0.006554
PAIR4-ABC,Mismatch (SBS26_PROFILE),SBS,-0.000485
PAIR4-ABC,Mismatch (SBS44_PROFILE),SBS,0.002232
PAIR4-ABC,Mismatch (SBS6_PROFILE),SBS,0.001931
PAIR4-ABC,Mismatch (v3.3_DBS10_PROFILE),DBS,0.007473
PAIR4-ABC,Mismatch (v3.3_DBS7_PROFILE),DBS,-0.003836
PAIR4-ABC,Mismatch (v3.3_ID7_PROFILE),ID,-0.077711
PAIR4-ABC,SBS-MS (SBS101_PROFILE),SBS,-0.006947
PAIR4-ABC,SBS-MS (SBS102_PROFILE),SBS,-0.007344
PAIR4-ABC,SBS-MS (SBS103_PROFILE),SBS,-0.023969
PAIR4-ABC,SBS-MS (SBS104_PROFILE),SBS,-0.000008
PAIR4-ABC,SBS-MS (SBS105_PROFILE),SBS,0.001011
PAIR4-ABC,SBS-MS (SBS106_PROFILE),SBS,-0.000422
PAIR4-ABC,SBS-MS (SBS107_PROFILE),SBS,0.002977
PAIR4-ABC,SBS-MS (SBS108_PROFILE),SBS,0.000559
PAIR4-ABC,SBS-MS (SBS10a_PROFILE),SBS,0.000872
PAIR4-ABC,SBS-MS (SBS10b_PROFILE),SBS,0.001719
PAIR4-ABC,SBS-MS (SBS10c_PROFILE),SBS,-0.000105
PAIR4-ABC,SBS-MS (SBS10d_PROFILE),SBS,0.000170
PAIR4-ABC,SBS-MS (SBS110_PROFILE),SBS,-0.007651
PAIR4-ABC,SBS-MS (SBS11_PROFILE),SBS,0.002108
PAIR4-ABC,SBS-MS (SBS12_PROFILE),SBS,-0.002053
PAIR4-ABC,SBS-MS (SBS13_PROFILE),SBS,-0.002078
PAIR4-ABC,SBS-MS (SBS16_PROFILE),SBS,-0.000993
PAIR4-ABC,SBS-MS (SBS17a_PROFILE),SBS,-0.001606
PAIR4-ABC,SBS-MS (SBS17b_PROFILE),SBS,-0.005450
PAIR4-ABC,SBS-MS (SBS18_PROFILE),SBS,-0.006017
PAIR4-ABC,SBS-MS (SBS19_PROFILE),SBS,-0.012048
PAIR4-ABC,SBS-MS (SBS22a_PROFILE),SBS,0.001036
PAIR4-ABC,SBS-MS (SBS22b_PROFILE),SBS,0.002221
PAIR4-ABC,SBS-MS (SBS23_PROFILE),SBS,-0.015209
PAIR4-ABC,SBS-MS (SBS24_PROFILE),SBS,0.003299
PAIR4-ABC,SBS-MS (SBS28_PROFILE),SBS,-0.004509
PAIR4-ABC,SBS-MS (SBS2_PROFILE),SBS,-0.011304
PAIR4-ABC,SBS-MS (SBS30_PROFILE),SBS,-0.005639
PAIR4-ABC,SBS-MS (SBS32_PROFILE),SBS,-0.010093
PAIR4-ABC,SBS-MS (SBS33_PROFILE),SBS,-0.003323
PAIR4-ABC,SBS-MS (SBS34_PROFILE),SBS,0.000685
PAIR4-ABC,SBS-MS (SBS36_PROFILE),SBS,0.001966
PAIR4-ABC,SBS-MS (SBS37_PROFILE),SBS,-0.017504
PAIR4-ABC,SBS-MS (SBS39_PROFILE),SBS,0.000662
PAIR4-ABC,SBS-MS (SBS3_PROFILE),SBS,-0.008485
PAIR4-ABC,SBS-MS (SBS40a_PROFILE),SBS,-0.005869
PAIR4-ABC,SBS-MS (SBS40b_PROFILE),SBS,-0.008256
PAIR4-ABC,SBS-MS (SBS40c_PROFILE),SBS,0.000364
PAIR4-ABC,SBS-MS (SBS41_PROFILE),SBS,-0.005324
PAIR4-ABC,SBS-MS (SBS42_PROFILE),SBS,-0.007439
PAIR4-ABC,SBS-MS (SBS84_PROFILE),SBS,-0.010158
PAIR4-ABC,SBS-MS (SBS85_PROFILE),SBS,-0.000874
PAIR4-ABC,SBS-MS (SBS88_PROFILE),SBS,-0.002514
PAIR4-ABC,SBS-MS (SBS89_PROFILE),SBS,0.002984
PAIR4-ABC,SBS-MS (SBS8_PROFILE),SBS,0.001659
PAIR4-ABC,SBS-MS (SBS90_PROFILE),SBS,-0.000751
PAIR4-ABC,SBS-MS (SBS91_PROFILE),SBS,-0.006696
PAIR4-ABC,SBS-MS (SBS93_PROFILE),SBS,-0.025196
PAIR4-ABC,SBS-MS (SBS94_PROFILE),SBS,0.000902
PAIR4-ABC,SBS-MS (SBS96_PROFILE),SBS,-0.013136
PAIR4-ABC,SBS-MS (SBS97_PROFILE),SBS,-0.008881
PAIR4-ABC,SBS-MS (SBS98_PROFILE),SBS,-0.008102
PAIR4-ABC,SBS-MS (SBS99_PROFILE),SBS,-0.008453
PAIR4-ABC,SBS-MS (SBS9_PROFILE),SBS,-0.011869
PAIR4-ABC,Tobacco (SBS100_PROFILE),SBS,-0.005479
PAIR4-ABC,Tobacco (SBS109_PROFILE),SBS,0.001789
PAIR4-ABC,Tobacco (SBS29_PROFILE),SBS,0.001340
PAIR4-ABC,Tobacco (SBS4_PROFILE),SBS,0.002512
PAIR4-ABC,Tobacco (SBS92_PROFILE),SBS,-0.011945
PAIR4-ABC,Tobacco (v3.3_DBS2_PROFILE),DBS,0.004827
PAIR4-ABC,Tobacco (v3.3_ID3_PROFILE),ID,-0.238429
PAIR4-ABC,UV (SBS38_PROFILE),SBS,0.000489
PAIR4-ABC,UV (SBS7a_PROFILE),SBS,-0.009956
PAIR4-ABC,UV (SBS7b_PROFILE),SBS,-0.019393
PAIR4-ABC,UV (SBS7c_PROFILE),SBS,-0.011011
PAIR4-ABC,UV (SBS7d_PROFILE),SBS,-0.020357
PAIR4-ABC,UV (v3.3_DBS1_PROFILE),DBS,-0.006479
PAIR4-ABC,UV (v3.3_ID13_PROFILE),ID,-0.142645
PAIR4-ABC,~~NULL (uniform random),NULL,0.000090
PAIR5-HR,Chemotherapy (SBS25_PROFILE),SBS,0.005733
PAIR5-HR,Chemotherapy (SBS31_PROFILE),SBS,-0.011783
PAIR5-HR,Chemotherapy (SBS35_PROFILE),SBS,0.004475
PAIR5-HR,Chemotherapy (SBS86_PROFILE),SBS,0.004595
PAIR5-HR,Chemotherapy (SBS87_PROFILE),SBS,-0.059722
PAIR5-HR,Chemotherapy (v3.3_DBS5_PROFILE),DBS,-0.074645
PAIR5-HR,Clock-like (SBS1_PROFILE),SBS,-0.004240
PAIR5-HR,Clock-like (SBS5_PROFILE),SBS,-0.002846
PAIR5-HR,Mismatch (SBS14_PROFILE),SBS,0.002421
PAIR5-HR,Mismatch (SBS15_PROFILE),SBS,0.002211
PAIR5-HR,Mismatch (SBS20_PROFILE),SBS,0.003292
PAIR5-HR,Mismatch (SBS21_PROFILE),SBS,0.006978
PAIR5-HR,Mismatch (SBS26_PROFILE),SBS,0.007641
PAIR5-HR,Mismatch (SBS44_PROFILE),SBS,-0.016772
PAIR5-HR,Mismatch (SBS6_PROFILE),SBS,0.002824
PAIR5-HR,Mismatch (v3.3_DBS10_PROFILE),DBS,-0.002385
PAIR5-HR,Mismatch (v3.3_DBS7_PROFILE),DBS,0.006442
PAIR5-HR,Mismatch (v3.3_ID7_PROFILE),ID,-0.035358
PAIR5-HR,SBS-MS (SBS101_PROFILE),SBS,0.006201
PAIR5-HR,SBS-MS (SBS102_PROFILE),SBS,-0.011324
PAIR5-HR,SBS-MS (SBS103_PROFILE),SBS,-0.068496
PAIR5-HR,SBS-MS (SBS104_PROFILE),SBS,-0.033296
PAIR5-HR,SBS-MS (SBS105_PROFILE),SBS,0.010493
PAIR5-HR,SBS-MS (SBS106_PROFILE),SBS,-0.023204
PAIR5-HR,SBS-MS (SBS107_PROFILE),SBS,-0.001336
PAIR5-HR,SBS-MS (SBS108_PROFILE),SBS,0.003515
PAIR5-HR,SBS-MS (SBS10a_PROFILE),SBS,-0.068496
PAIR5-HR,SBS-MS (SBS10b_PROFILE),SBS,0.002867
PAIR5-HR,SBS-MS (SBS10c_PROFILE),SBS,0.011554
PAIR5-HR,SBS-MS (SBS10d_PROFILE),SBS,-0.069319
PAIR5-HR,SBS-MS (SBS110_PROFILE),SBS,0.001409
PAIR5-HR,SBS-MS (SBS11_PROFILE),SBS,-0.001504
PAIR5-HR,SBS-MS (SBS12_PROFILE),SBS,0.007377
PAIR5-HR,SBS-MS (SBS13_PROFILE),SBS,0.002908
PAIR5-HR,SBS-MS (SBS16_PROFILE),SBS,0.000322
PAIR5-HR,SBS-MS (SBS17a_PROFILE),SBS,0.006030
PAIR5-HR,SBS-MS (SBS17b_PROFILE),SBS,0.009432
PAIR5-HR,SBS-MS (SBS18_PROFILE),SBS,0.005492
PAIR5-HR,SBS-MS (SBS19_PROFILE),SBS,-0.044115
PAIR5-HR,SBS-MS (SBS22a_PROFILE),SBS,0.003827
PAIR5-HR,SBS-MS (SBS22b_PROFILE),SBS,0.003321
PAIR5-HR,SBS-MS (SBS23_PROFILE),SBS,0.001282
PAIR5-HR,SBS-MS (SBS24_PROFILE),SBS,0.003919
PAIR5-HR,SBS-MS (SBS28_PROFILE),SBS,0.005011
PAIR5-HR,SBS-MS (SBS2_PROFILE),SBS,-0.086646
PAIR5-HR,SBS-MS (SBS30_PROFILE),SBS,0.004712
PAIR5-HR,SBS-MS (SBS32_PROFILE),SBS,-0.005829
PAIR5-HR,SBS-MS (SBS33_PROFILE),SBS,0.007420
PAIR5-HR,SBS-MS (SBS34_PROFILE),SBS,-0.000556
PAIR5-HR,SBS-MS (SBS36_PROFILE),SBS,0.002915
PAIR5-HR,SBS-MS (SBS37_PROFILE),SBS,-0.011921
PAIR5-HR,SBS-MS (SBS39_PROFILE),SBS,0.005219
PAIR5-HR,SBS-MS (SBS3_PROFILE),SBS,-0.006417
PAIR5-HR,SBS-MS (SBS40a_PROFILE),SBS,0.002176
PAIR5-HR,SBS-MS (SBS40b_PROFILE),SBS,-0.001006
PAIR5-HR,SBS-MS (SBS40c_PROFILE),SBS,-0.016968
PAIR5-HR,SBS-MS (SBS41_PROFILE),SBS,-0.000538
PAIR5-HR,SBS-MS (SBS42_PROFILE),SBS,0.002213
PAIR5-HR,SBS-MS (SBS84_PROFILE),SBS,0.002829
PAIR5-HR,SBS-MS (SBS85_PROFILE),SBS,0.005004
PAIR5-HR,SBS-MS (SBS88_PROFILE),SBS,0.006324
PAIR5-HR,SBS-MS (SBS89_PROFILE),SBS,-0.094208
PAIR5-HR,SBS-MS (SBS8_PROFILE),SBS,-0.068496
PAIR5-HR,SBS-MS (SBS90_PROFILE),SBS,0.006431
PAIR5-HR,SBS-MS (SBS91_PROFILE),SBS,0.003460
PAIR5-HR,SBS-MS (SBS93_PROFILE),SBS,-0.013416
PAIR5-HR,SBS-MS (SBS94_PROFILE),SBS,0.007492
PAIR5-HR,SBS-MS (SBS96_PROFILE),SBS,0.007399
PAIR5-HR,SBS-MS (SBS97_PROFILE),SBS,-0.029133
PAIR5-HR,SBS-MS (SBS98_PROFILE),SBS,-0.058753
PAIR5-HR,SBS-MS (SBS99_PROFILE),SBS,0.006030
PAIR5-HR,SBS-MS (SBS9_PROFILE),SBS,0.004124
PAIR5-HR,Tobacco (SBS100_PROFILE),SBS,0.006476
PAIR5-HR,Tobacco (SBS109_PROFILE),SBS,-0.018491
PAIR5-HR,Tobacco (SBS29_PROFILE),SBS,-0.033884
PAIR5-HR,Tobacco (SBS4_PROFILE),SBS,-0.062153
PAIR5-HR,Tobacco (SBS92_PROFILE),SBS,-0.014132
PAIR5-HR,Tobacco (v3.3_DBS2_PROFILE),DBS,-0.012021
PAIR5-HR,Tobacco (v3.3_ID3_PROFILE),ID,-0.086162
PAIR5-HR,UV (SBS38_PROFILE),SBS,0.005329
PAIR5-HR,UV (SBS7a_PROFILE),SBS,0.000779
PAIR5-HR,UV (SBS7b_PROFILE),SBS,-0.067769
PAIR5-HR,UV (SBS7c_PROFILE),SBS,-0.026488
PAIR5-HR,UV (SBS7d_PROFILE),SBS,-0.046094
PAIR5-HR,UV (v3.3_DBS1_PROFILE),DBS,-0.094208
PAIR5-HR,UV (v3.3_ID13_PROFILE),ID,-0.044990
PAIR5-HR,~~NULL (uniform random),NULL,0.002207
